-0.01900000,-0.613735,1
-0.01700000,-0.600794,1
-0.01600000,-0.586154,1
-0.01400000,-0.571435,1
-0.01300000,-0.557427,1
-0.01200000,-0.543994,1
-0.01000000,-0.531006,1
-0.00900000,-0.518447,1
-0.00800000,-0.506341,1
-0.00700000,-0.494723,1
-0.00600000,-0.483588,1
-0.00500000,-0.473008,1
-0.00400000,-0.463013,1
-0.00300000,-0.453721,1
-0.00200000,-0.445226,1
-0.00100000,-0.437747,1
-0.00000000,-0.029450307902,30
0.00100000,3.32909e-05,2
0.00200000,0.0001191855,2
0.00300000,0.000184084,1
0.00400000,0.000229586,2
0.00500000,0.000244621,2
0.00600000,0.000196943,2
0.00700000,0.000129972,2
0.00800000,7.27436e-05,1
0.00900000,8.5675e-07,2
0.01000000,-0.00010590405,2
0.01100000,-0.000203066,1
0.01200000,-0.000330978,2
0.01300000,-0.000459494,1
0.01400000,-0.00057724,2
0.01500000,-0.0007116105,2
0.01600000,-0.000764807,1
0.01700000,-0.000709832,2
0.01800000,-0.000373425,1
0.01900000,0.000754027,2
0.02000000,0.00233868,1
0.02100000,0.00392023,1
0.02200000,0.0070975,2
0.02300000,0.0102959,1
0.02400000,0.0128907,2
0.02500000,0.0151248,1
0.02600000,0.01703555,2
0.02700000,0.0187435,1
0.02800000,0.0197747,1
0.02900000,0.02119955,2
0.03000000,0.0225281,1
0.03100000,0.0233629,1
0.03200000,0.0241669,1
0.03300000,0.0253289,2
0.03400000,0.026458,1
0.03500000,0.0271931,1
0.03600000,0.02827525,2
0.03700000,0.0293416,1
0.03800000,0.0300444,1
0.03900000,0.0307428,1
0.04000000,0.032126,1
0.04100000,0.0338269,2
0.04200000,0.0355742,1
0.04300000,0.0368089,1
0.04400000,0.0379913,1
0.04500000,0.0392317,1
0.04600000,0.0404544,1
0.04700000,0.0417084,1
0.04800000,0.04359135,2
0.04900000,0.0454878,1
0.05000000,0.0467559,1
0.05100000,0.0480196,1
0.05200000,0.0492816,1
0.05300000,0.0505367,1
0.05400000,0.0517847,1
0.05500000,0.0530227,1
0.05600000,0.0542505,1
0.05700000,0.0554652,1
0.05800000,0.0566662,1
0.05900000,0.0578499,1
0.06000000,0.0590154,1
0.06100000,0.0601602,1
0.06200000,0.0612835,1
0.06300000,0.0623821,1
0.06400000,0.0634562,1
0.06500000,0.0645021,1
0.06600000,0.0655199,1
0.06700000,0.0665062,1
0.06800000,0.0674604,1
0.06900000,0.0683812,1
0.07000000,0.0692674,1
0.07100000,0.0701171,1
0.07200000,0.0709288,1
0.07300000,0.0717009,1
0.07400000,0.0724318,1
0.07600000,0.0731205,1
0.07700000,0.0737653,1
0.07800000,0.0743654,1
0.07900000,0.0749203,1
0.08000000,0.07543,1
0.08100000,0.0758955,1
0.08200000,0.0763192,1
0.08400000,0.0766937,1
0.08500000,0.0770184,1
0.08600000,0.0772929,1
0.08700000,0.0775209,1
0.08800000,0.0776968,1
0.09000000,0.0778221,1
0.09100000,0.0778961,1
0.09200000,0.0779191,1
0.09300000,0.0778904,1
0.09400000,0.0778115,1
0.09600000,0.0776816,1
0.09700000,0.0775015,1
0.09800000,0.0772707,1
0.10000000,0.0769909,1
0.10100000,0.0766617,1
0.10200000,0.0762844,1
0.10400000,0.0758583,1
0.10500000,0.0753843,1
0.10600000,0.0748629,1
0.10800000,0.0742946,1
0.10900000,0.0736801,1
0.11000000,0.0730204,1
0.11200000,0.0723158,1
0.11300000,0.0715672,1
0.11400000,0.0707748,1
0.11600000,0.0699392,1
0.11700000,0.0690609,1
0.11900000,0.0681417,1
0.12000000,0.0671859,1
0.12200000,0.0661926,1
0.12300000,0.0651468,1
0.12500000,0.0640731,1
0.12600000,0.062958,1
0.12800000,0.0618095,1
0.12900000,0.0606262,1
0.13100000,0.0594122,1
0.13200000,0.0581666,1
0.13400000,0.0568889,1
0.13500000,0.0555823,1
0.13700000,0.0542486,1
0.13900000,0.0528888,1
0.14000000,0.0515049,1
0.14200000,0.0500983,1
0.14300000,0.0486703,1
0.14500000,0.0472229,1
0.14700000,0.045757,1
0.14800000,0.0442751,1
0.15000000,0.042778,1
0.15200000,0.0412676,1
0.15300000,0.0397446,1
0.15500000,0.0382113,1
0.15700000,0.0366677,1
0.15900000,0.0351172,1
0.16000000,0.0335601,1
0.16200000,0.0319978,1
0.16400000,0.0304323,1
0.16600000,0.0288641,1
0.16800000,0.0272949,1
0.16900000,0.0257247,1
0.17100000,0.0241543,1
0.17300000,0.0225836,1
0.17500000,0.0210127,1
0.17700000,0.0194414,1
0.17900000,0.0178697,1
0.18100000,0.0162974,1
0.18300000,0.0147246,1
0.18500000,0.013151,1
0.18700000,0.0115755,1
0.18900000,0.00999693,1
0.19100000,0.00841077,1
0.19300000,0.0067776,1
0.19500000,0.00519384,1
0.19700000,0.00364649,1
0.19900000,0.00212116,1
0.20100000,0.000678804,1
0.20300000,-0.000957122,1
0.20500000,-0.00141654,1
0.20700000,-0.0033773,1
0.20900000,-0.00644761,1
0.21100000,-0.00948845,1
0.21400000,-0.0127605,1
0.21600000,-0.0162981,1
0.21800000,-0.0200284,1
0.22100000,-0.0239488,1
0.22300000,-0.0281253,1
0.22600000,-0.0325849,1
0.22900000,-0.0373431,1
0.23200000,-0.0424142,1
0.23500000,-0.0478184,1
0.23800000,-0.0535818,1
0.24100000,-0.0597278,1
0.24500000,-0.0663045,1
0.24800000,-0.0733253,1
0.25200000,-0.0809126,1
0.25600000,-0.0889737,1
0.26000000,-0.097968,1
0.26400000,-0.107177,1
0.26800000,-0.118526,1
0.27300000,-0.128529,1
0.27800000,-0.144835,1
0.28200000,-0.153533,1
0.28700000,-0.183905,1
